DATE,TRANSIT
2000-01-01,724934
2000-02-01,756536
2000-03-01,843730
2000-04-01,757458
2000-05-01,818246
2000-06-01,793911
2000-07-01,743746
2000-08-01,787064
2000-09-01,802516
2000-10-01,851255
2000-11-01,816120
2000-12-01,755040
2001-01-01,800293
2001-02-01,761213
2001-03-01,846702
2001-04-01,803744
2001-05-01,850680
2001-06-01,807301
2001-07-01,785014
2001-08-01,809941
2001-09-01,768513
2001-10-01,871470
2001-11-01,820117
2001-12-01,756221
2002-01-01,752812.0
2002-02-01,718884.0
2002-03-01,776881.0
2002-04-01,779169.0
2002-05-01,789624.0
2002-06-01,720832.0
2002-07-01,742987.0
2002-08-01,742214.0
2002-09-01,764467.0
2002-10-01,803242.0
2002-11-01,738672.0
2002-12-01,717457.0
2003-01-01,736900.0
2003-02-01,696283.0
2003-03-01,786397.0
2003-04-01,762806.0
2003-05-01,763469.0
2003-06-01,719584.0
2003-07-01,740437.0
2003-08-01,718910.0
2003-09-01,751233.0
2003-10-01,801943.0
2003-11-01,696904.0
2003-12-01,733999.0
2004-01-01,730657.0
2004-02-01,729421.0
2004-03-01,830138.0
2004-04-01,783723.0
2004-05-01,781634.0
2004-06-01,771871.0
2004-07-01,750889.0
2004-08-01,764212.0
2004-09-01,783606.0
2004-10-01,819097.0
2004-11-01,776928.0
2004-12-01,778499.0
2005-01-01,747768.0
2005-02-01,727882.0
2005-03-01,845975.0
2005-04-01,800801.0
2005-05-01,819905.0
2005-06-01,793548.0
2005-07-01,772326.0
2005-08-01,805500.0
2005-09-01,823831.0
2005-10-01,848849.0
2005-11-01,803000.0
2005-12-01,747830.0
2006-01-01,789757.0
2006-02-01,741472.0
2006-03-01,866365.0
2006-04-01,780066.0
2006-05-01,844162.0
2006-06-01,833120.0
2006-07-01,776849.0
2006-08-01,826059.0
2006-09-01,837889.0
2006-10-01,870254.0
2006-11-01,818314.0
2006-12-01,785344.0
2007-01-01,811394.0
2007-02-01,762950.0
2007-03-01,879460.0
2007-04-01,828090.0
2007-05-01,886746.0
2007-06-01,831911.0
2007-07-01,815264.0
2007-08-01,858265.0
2007-09-01,844668.0
2007-10-01,925613.0
2007-11-01,853354.0
2007-12-01,786304.0
2008-01-01,824117.0
2008-02-01,818762.0
2008-03-01,866867.0
2008-04-01,894223.0
2008-05-01,900514.0
2008-06-01,867243.0
2008-07-01,895655.0
2008-08-01,875549.0
2008-09-01,896800.0
2008-10-01,954787.0
2008-11-01,836323.0
2008-12-01,836796.0
2009-01-01,811077.0
2009-02-01,793796.0
2009-03-01,881916.0
2009-04-01,867250.0
2009-05-01,848882.0
2009-06-01,842850.0
2009-07-01,840198.0
2009-08-01,830487.0
2009-09-01,865917.0
2009-10-01,904060.0
2009-11-01,804750.0
2009-12-01,807889.0
2010-01-01,791522.0
2010-02-01,748796.0
2010-03-01,896922.0
2010-04-01,872882.0
2010-05-01,855932.0
2010-06-01,845468.0
2010-07-01,821929.0
2010-08-01,847812.0
2010-09-01,867660.0
2010-10-01,891659.0
2010-11-01,840793.0
2010-12-01,815612.0
2011-01-01,796585.0
2011-02-01,783261.0
2011-03-01,911061.0
2011-04-01,859897.0
2011-05-01,883667.0
2011-06-01,864403.0
2011-07-01,827658.0
2011-08-01,846358.0
2011-09-01,894803.0
2011-10-01,922548.0
2011-11-01,865887.0
2011-12-01,842335.0
2012-01-01,846470.0
2012-02-01,862976.0
2012-03-01,917178.0
2012-04-01,873017.0
2012-05-01,903501.0
2012-06-01,854634.0
2012-07-01,851884.0
2012-08-01,896707.0
2012-09-01,880560.0
2012-10-01,928343.0
2012-11-01,866238.0
2012-12-01,827758.0
2013-01-01,867459.0
2013-02-01,816236.0
2013-03-01,891784.0
2013-04-01,910725.0
2013-05-01,911492.0
2013-06-01,854374.0
2013-07-01,871336.0
2013-08-01,891472.0
2013-09-01,903863.0
2013-10-01,976227.0
2013-11-01,865854.0
2013-12-01,840767.0
2014-01-01,835144.0
2014-02-01,815292.0
2014-03-01,916417.0
2014-04-01,924036.0
2014-05-01,926972.0
2014-06-01,877459.0
2014-07-01,889120.0
2014-08-01,890488.0
2014-09-01,934415.0
2014-10-01,989965.0
2014-11-01,844733.0
2014-12-01,867305.0
2015-01-01,821043.0
2015-02-01,782741.0
2015-03-01,910826.0
2015-04-01,904755.0
2015-05-01,874547.0
2015-06-01,881343.0
2015-07-01,893090.0
2015-08-01,843677.0
2015-09-01,900247.0
2015-10-01,956049.0
2015-11-01,851059.0
2015-12-01,853434.0
2016-01-01,798626.0
2016-02-01,835127.0
2016-03-01,910132.0
2016-04-01,873735.0
2016-05-01,882465.0
2016-06-01,870018.0
2016-07-01,811500.0
2016-08-01,866992.0
2016-09-01,886614.0
2016-10-01,891367.0
2016-11-01,842380.0
2016-12-01,810009.0
2017-01-01,805134.0
2017-02-01,780180.0
2017-03-01,888768.0
2017-04-01,837027.0
2017-05-01,878191.0
2017-06-01,844939.0
2017-07-01,792993.0
2017-08-01,840222.0
2017-09-01,846559.0
2017-10-01,913074.0
2017-11-01,833902.0
2017-12-01,775827.0
2018-01-01,790699.0
2018-02-01,768012.0
2018-03-01,843259.0
2018-04-01,831169.0
2018-05-01,859977.0
2018-06-01,824159.0
2018-07-01,798985.0
2018-08-01,835087.0
2018-09-01,818166.0
2018-10-01,923455.0
2018-11-01,814395.0
2018-12-01,765150.0
2019-01-01,775609.0
2019-02-01,742566.0
2019-03-01,834429.0
2019-04-01,855000.0
2019-05-01,863434.0
2019-06-01,802010.0
2019-07-01,823886.0
2019-08-01,837867.0
2019-09-01,848091.0
2019-10-01,917503.0
2019-11-01,815984.0
2019-12-01,793201.0
2020-01-01,816990.0
2020-02-01,790486.0
2020-03-01,507090.0
2020-04-01,172152.0
2020-05-01,201375.0
2020-06-01,257199.0
2020-07-01,305931.0
2020-08-01,317876.0
2020-09-01,330229.0
2020-10-01,350426.0
2020-11-01,310325.0
2020-12-01,308841.0
2021-01-01,292183.0
2021-02-01,275227.0
2021-03-01,347857.0
2021-04-01,351870.0
2021-05-01,373590.0
2021-06-01,409263.0
2021-07-01,424574.0
2021-08-01,429881.0
2021-09-01,465281.0
2021-10-01,502175.0
2021-11-01,470644.0
2021-12-01,452037.0
2022-01-01,396877.0
2022-02-01,431634.0
2022-03-01,516997.0
2022-04-01,511186.0
2022-05-01,521581.0
2022-06-01,526993.0
2022-07-01,507625.0
2022-08-01,543990.0
2022-09-01,572428.0
2022-10-01,590484.0
2022-11-01,556153.0
2022-12-01,529213.0
2023-01-01,540255.0
2023-02-01,525567.0
2023-03-01,609509.0
2023-04-01,574275.0
2023-05-01,625380.0
2023-06-01,589423.0
2023-07-01,561141.0
2023-08-01,610962.0
2023-09-01,629546.0
2023-10-01,658245.0
2023-11-01,613032.0
2023-12-01,584804.0
2024-01-01,576293.0
2024-02-01,582606.0
2024-03-01,627417.0
2024-04-01,638109.0
2024-05-01,658598.0
2024-06-01,599708.0
